snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version
c36,J0539-7001,J0539-7001,84.89791666666666,-70.03111111111112,SNR_candidate,6.0,2.4,4.2,2.1,61.08648,135.0,ellipse,0.308,0.014,False,,0.8571428571428571,0.916515138991168,HP99,1999A&AS..139..277H (Haberl & Pietsch 1999),ok,,,B17-Candidates,,,,,-0.47,0.41,0.0054,,,,False,True,False,False,False,False,,3
c37,J0542-6852,J0542-6852,85.49708333333332,-68.86694444444444,SNR_candidate,6.0,5.8,5.9,2.95,85.81196,343.0,ellipse,0.075,0.0158,False,,0.03389830508474579,0.25603819159562036,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c38,J0543-6906,J0543-6906,85.8625,-69.12249999999999,SNR_candidate,7.3,7.3,7.3,3.65,106.17412,0.0,circle,0.397,0.025,False,,0.0,0.0,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c39,J0543-6923,J0543-6923,85.81875,-69.39083333333333,SNR_candidate,9.6,7.0,8.3,4.15,120.71852000000001,0.0,ellipse,,,True,,0.3132530120481927,0.6843361544023684,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c40,J0543-6928,J0543-6928,85.77624999999999,-69.47833333333334,SNR_candidate,4.8,3.0,3.9,1.95,56.72316,35.0,ellipse,0.036,0.0118,False,,0.4615384615384615,0.7806247497997998,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c41,J0548-6941,J0548-6941,87.20499999999998,-69.68944444444445,SNR_candidate,5.2,3.2,4.2,2.1,61.08648,150.0,ellipse,,,True,,0.47619047619047616,0.7882269819968921,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c42,J054949.7-700145,J054949.7-700145,87.45708333333333,-70.02916666666667,SNR_candidate,5.2,3.4,4.3,2.15,62.54092,160.0,ellipse,0.058,0.0082,False,,0.4186046511627908,0.7566275220348463,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c43,J0549-6618,J0549-6618,87.37666666666665,-66.2936111111111,SNR_candidate,2.2,2.0,2.1,1.05,30.54324,45.0,ellipse,,,True,,0.09523809523809532,0.416597790450531,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c44,J0549-6633,J0549-6633,87.35666666666665,-66.56277777777777,SNR_candidate,5.8,4.2,5.0,2.5,72.722,45.0,ellipse,,,True,,0.31999999999999995,0.689655172413793,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c45,MCSNR J0614-7251,J0614-7251,93.65874999999998,-72.85333333333332,SNR,3.6,3.6,3.6,1.8,52.35984,0.0,circle,0.276,0.012,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,Sa25,2025A&A...693L..15S,J061438.1-725112,,,,,,,,,,,False,False,False,False,False,False,eROSITA SNR candidate (Zangrandi+24) confirmed as an LMC SNR by Sasaki+25 (2025A&A...693L..15S): environment density and X-ray properties similar to the known LMC SNR population.,3
c46,MCSNR J0624-6948,J0624-6948,96.05624999999999,-69.8086111111111,SNR,4.5,4.5,4.5,2.25,65.4498,0.0,circle,0.037,0.0073,False,,0.0,0.0,F22,"2022MNRAS.512..265F",ok,Sa25,2025A&A...693L..15S,,,,,,,,,,,,False,False,False,False,False,False,"SNR candidate (Filipovic+22; Zangrandi+24) confirmed as an LMC SNR by Sasaki+25 (2025A&A...693L..15S): radio shell spectral index and polarisation typical of an SNR; low-density environment, n0 < 0.01 cm^-3.",3
