snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version,hint_spec_m16,sn_type_m16,sn_type_b17,age_b17_kyr,age_b17_err_kyr,age_b17_ref,sigma_1ghz_b17_1e-20,sii_ha_y21,hr1,hr1_err,hr2,hr2_err,hr3,hr3_err,nh_z26_1e22,kt_z26_kev,tau_z26_1e11,fx_z26_1e-14,in_z26,age_k22_kyr,e0_k22_1e51,n0_k22_cm3
73,MCSNR J0543-6624,J0543-6624,85.9525,-66.3975,SNR,5.6,5.6,5.6,2.8,81.44864,0,circle,0.105,0.007,False,CC?,0,0,Za24,2024A&A...692A.237Z,ok,Za24,2024A&A...692A.237Z,4eRASSU J054348.6-662351,,,,,,,,,,,False,False,False,False,False,False,"Z24-Discovered-Confirmed, 3-sigma detection, tentatively typed CC",4,,,,,,,,,-0.6,0.05,,,,,,,,,False,,,
74,MCSNR J0543-6858,J0543-6858,85.7745833333333,-68.9841666666667,SNR,5.6,5.6,5.6,2.8,81.44864,0,circle,0.709,0.02,False,CC,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L299,1.68,0.4,,,,,,4.44,13700,0.025,True,True,True,False,False,False,,4,3,,X,10.8,7.3,Warth et al. (2014),,,,,,,,,0.35+0.07-0.08,0.96+0.46-0.23,0.08+0.02-0.01,52.7±1.1,True,,,
75,MCSNR J0547-6941,J0547-6941,86.8466666666667,-69.6897222222222,SNR,2.7,2.7,2.7,1.35,39.26988,0,circle,0.63,0.013,False,Ia?,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,DEM L316A,1.26,0.92,27000,,-0.54,0.16,0.5217,0.771,4950,0.105,True,True,True,False,False,False,,4,1,Ia,TNq,33,6,Williams & Chu (2005),1.96,,,,,,,,0.38+0.07-0.05,0.97+0.04-0.04,1.76+0.46-0.31,54.9±1.0,True,,,
76,MCSNR J0547-6943,J0547-6943,86.7466666666667,-69.7180555555556,SNR,4.4,3,3.7,1.85,53.81428,35,ellipse,0.62,0.014,False,CC,0.378378378378378,0.731521679065049,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,DEM L316B,1.47,0.63,,,-0.53,0.16,0.7282,0.362,18600,0.13,True,True,True,False,False,False,,4,3,,CCq,40.5,1.5,Nishiuchi et al. (2001),1.23,,,,,,,,0.28+0.14-0.07,0.91+0.15-0.1,0.9+0.20-0.29,48.5±1.0,True,,,
77,MCSNR J0547-7025,J0547-7025,86.9508333333333,-70.415,SNR,3.4,3.4,3.4,1.7,49.45096,0,circle,1.7,0.02,False,Ia?,0,0,MFD83,MFD83,unmapped,,,B0548-704,2.94,0.88,7100,,-0.56,0.03,0.0632,0.257,11700,0.271,True,True,True,False,False,False,,4,1,Ia,X,7.1,,Maggi et al. (2016),0.272,,,,,,,,0.50+0.05-0.05,0.68+0.07-0.08,0.22+0.05-0.03,125.2±1.5,True,,,
78,MCSNR J0550-6823,J0550-6823,87.62875,-68.3952777777778,SNR,7,5.6,6.3,3.15,91.62972,25,ellipse,0.494,0.012,False,CC,0.222222222222222,0.6,BFC12b,BFC12b,unmapped,,,DEM L328,1.22,1.22,,,-0.41,0.02,0.6495,,,,True,True,False,False,False,False,,4,3,,CCq,,,Williams et al. (2004); Williams et al. (2004); Seward et al. (2006); Williams et al. (1999); Jaskot et al. (2011); Ghavamian et al. (2003); Hughes et al. (2006); Klimek et al. (2010); Maggi et al. (2016); Bozzetto et al. (2014b); Maggi et al. (2014); Hughes et al. (1995); Hovey et al. (2015); Reid et al. (2015); Desai et al. (2010); Rosado et al. (1993); Borkowski et al. (2006b); Williams et al. (2006); Borkowski et al. (2007); Park et al. (2003); Park et al. (2012); Kavanagh et al. (2013); Maggi et al. (2012); Williams et al. (2005); Kavanagh et al. (2015c); Hendrick et al. (2003); Borkowski et al. (2006a); Warren et al. (2003); Seward et al. (2012); Kavanagh et al. (2015a); Seward et al. (2010); Seward et al. (2010); Crawford et al. (2014); Grondin et al. (2012); Warth et al. (2014); Nishiuchi et al. (2001); Williams & Chu (2005),0.335,,,,,,,,<0.04,0.77+0.10-0.10,0.33+0.08-0.07,37.7±0.5,True,,,
c01,J0444-6758,J0444-6758,71.1158333333333,-67.9702777777778,SNR_candidate,2.6,1.8,2.2,1.1,31.99768,80,ellipse,,,True,,0.363636363636364,0.72160242458822,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.7,,,,,,,,,,,False,,,
c02,J0450-6818,J0450-6818,72.5516666666667,-68.3013888888889,SNR_candidate,7.4,6.6,7,3.5,101.8108,105,ellipse,,,True,,0.114285714285714,0.452248662991392,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.8,,,,,,,,,,,False,,,
c03,J0451-6717,J0451-6717,72.9404166666667,-67.29,SNR_candidate,9.8,5.6,7.7,3.85,111.99188,60,ellipse,0.206,0.019,False,CC?,0.545454545454546,0.82065180664829,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J045145.7-671724,,,,,,,,,,,False,False,False,False,False,False,Z24-Candidate; radio pulsar? (2006ApJ...649..235M),4,,,,,,,,,0,0.09,-0.64,0.13,-0.2,0.42,,,,,False,,,
c04,J0451-6906,J0451-6906,72.9120833333333,-69.1072222222222,SNR_candidate,10,6.4,8.2,4.1,119.26408,345,ellipse,,,True,,0.439024390243902,0.768374908491942,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,,,,,,,,,,,False,,,
c05,J0451-6951,J0451-6951,72.9695833333333,-69.8613888888889,SNR_candidate,2.8,2.8,2.8,1.4,40.72432,0,circle,,,True,,0,0,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,,,,,,,,,,,False,,,
c06,J0452-6638,J0452-6638,73.1758333333333,-66.6452777777778,SNR_candidate,4.6,6.6,5.6,2.8,81.44864,0,ellipse,0.015,0.0183,False,,0.357142857142857,0.717100579769651,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.13,0.33,,,,,,,,,False,,,
c07,J0455-6830,J0455-6830,73.9033333333333,-68.5097222222222,SNR_candidate,1.3,1.3,1.3,0.65,18.90772,0,circle,,,True,,0,0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.9,,,,,,,,,,,False,,,
c08,J0456-6830,J0456-6830,74.10625,-68.5144444444445,SNR_candidate,2.7,2.7,2.7,1.35,39.26988,0,circle,0.029,0.0078,False,Ia?,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J045625.5-683052,,,,,,,,,,,False,False,False,False,False,False,"Z24-Candidate, HR+color suggest type Ia",4,,,,,,,,,0.89,0.35,-0.79,0.23,,,,,,,False,,,
c09,J0457-6739,J0457-6739,74.3875,-67.6513888888889,SNR_candidate,2.5,2.5,2.5,1.25,36.361,0,circle,,,True,,0,0,B17,2017ApJS..230....2B,ok,,,,,,,,-0.5,0,0.0304,,,,False,True,False,False,False,False,B17-Candidate_new,4,,,,,,,0.0732,,,,,,,,,,,,False,,,
c10,J0457-6823,J0457-6823,74.39,-68.3941666666667,SNR_candidate,6.6,3.8,5.2,2.6,75.63088,330,ellipse,0.025,0.0128,False,,0.538461538461539,0.8176204583777,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.69,0.37,,,,,,,,,False,,,
c11,J0457-6923,J0457-6923,74.2825,-69.3994444444445,SNR_candidate,4,3.4,3.7,1.85,53.81428,90,ellipse,,,True,,0.162162162162162,0.526782687642637,B17,2017ApJS..230....2B,ok,,,,,,,,,,,,,,False,True,False,False,False,False,B17-Candidate,4,,,,,,,,,,,,,,,,,,,False,,,
