snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version,hint_spec_m16,sn_type_m16,sn_type_b17,age_b17_kyr,age_b17_err_kyr,age_b17_ref,sigma_1ghz_b17_1e-20,sii_ha_y21,hr1,hr1_err,hr2,hr2_err,hr3,hr3_err,nh_z26_1e22,kt_z26_kev,tau_z26_1e11,fx_z26_1e-14,in_z26,age_k22_kyr,e0_k22_1e51,n0_k22_cm3
1,MCSNR J0447-6918,J0447-6918,71.8008333333333,-69.3211111111111,SNR,6,3.8,4.9,2.45,71.26756,320,ellipse,0.024,0.011,False,,0.448979591836735,0.773879117749593,B17,2017ApJS..230....2B,ok,,,MCSNR J0447-6919,,,,,,,,,,,False,True,False,False,True,False,B17-Candidate_new,4,,,,,,,,,0.17,0.31,-0.87,0.55,,,,,,,False,22.0-28.0,0.17-0.95,0.025-0.063
2,MCSNR J0448-6700,J0448-6700,72.105,-67.0069444444444,SNR,5.4,5.4,5.4,2.7,78.53976,0,circle,0.222,0.015,False,Ia,0,0,BGS06,"2006ApJS..165..480B (Blair et al. 2006, UV)",verify-bibcode,,,[HP99] 460,0.46,,,,-0.11,0.05,0.0334,,,,True,True,False,False,True,False,,4,3,,X,,,,0.0317,,,,,,,,,,,,False,27.0-35.0,0.24-2.06,0.044-0.088
3,MCSNR J0449-6903,J0449-6903,72.3916666666667,-69.0594444444444,SNR,3.6,3.4,3.5,1.75,50.9054,0,ellipse,0.03,0.0087,False,,0.0571428571428572,0.32867109906109,B17,2017ApJS..230....2B,ok,,,,,,,,-0.5,0.01,0.0984,,,,False,True,False,False,True,False,B17-Candidate,4,,,,,,,0.2926,,-0.13,0.46,0.42,0.31,-0.66,0.5,,,,,False,9.0-15.0,0.01-0.17,0.016-0.044
4,MCSNR J0449-6920,J0449-6920,72.3333333333333,-69.3388888888889,SNR,3.3,3.3,3.3,1.65,47.99652,0,circle,0.063,0.0096,False,CC,0,0,KPS10,"Klimek, Points & Smith 2010",verify-bibcode,,,,0.07,2.33,,,-0.4,0.08,0.0869,0.599,21400,0.291,True,True,True,False,False,False,,4,3,,X,,,,0.356,,,,,,,,,,,,False,,,
5,MCSNR J0450-7050,J0450-7050,72.6125,-70.8375,SNR,6.4,6.4,6.4,3.2,93.08416,0,circle,0.253,0.019,False,CC,0,0,MFT85,Mathewson et al. 1985,verify-bibcode,,,B0450-709,0.59,0.93,,,-0.41,0.03,0.6893,2.96,40600,0.13,True,True,True,False,False,False,,4,3,,CCq,70,25,Williams et al. (2004),0.205,,,,,,,,0.05+0.17-0.04,0.29+0.02-0.04,40.6+429-14.7,27.5±1.4,True,,,
6,MCSNR J0453-6655,J0453-6655,73.2925,-66.9144444444445,SNR,4.3,4.3,4.3,2.15,62.54092,0,circle,0.514,0.018,False,CC,0,0,SCM94,"Smith, Chu & Mac Low 1994",verify-bibcode,,,N4,1.17,0.6,,,-0.58,0.06,0.1116,2.78,25000,0.189,True,True,True,False,False,False,,4,3,,X,,,,0.104,,,,,,,,<0.04,0.75+0.27-0.19,0.17+0.09-0.06,40.5±1.1,True,,,
7,MCSNR J0453-6829,J0453-6829,73.4070833333333,-68.4938888888889,SNR,3.3,3.3,3.3,1.65,47.99652,0,circle,6.23,0.06,False,CC?,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0453-685,13.85,0.54,13500,1500,-0.34,0.01,0.21,0.829,11400,0.577,True,True,True,False,False,False,,4,5,CC,CCpwn,13.5,1.5,Williams et al. (2004),0.773,,,,,,,,0.02+0.01-0.01,0.96+0.08-0.07,0.12+0.01-0.01,480.5±3.5,True,,,
8,MCSNR J0454-6626,J0454-6626,73.7041666666667,-66.4255555555556,SNR,2.5,2.5,2.5,1.25,36.361,0,circle,0.396,0.015,False,CC,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N11L,0.63,0.35,,,-0.5,0.03,0.1539,0.164,11100,0.166,True,True,True,False,False,False,,4,3,,CCq,11,4,Williams et al. (1999),1.3,,,,,,,,,,,,False,,,
9,MCSNR J0454-6713,J0454-6713,73.6133333333333,-67.2222222222222,SNR,2.4,2.4,2.4,1.2,34.90656,0,circle,0.758,0.0022,False,Ia?,0,0,SCM94,"Smith, Chu & Mac Low 1994",verify-bibcode,,,N9,1.58,1.32,,,-0.51,0.03,0.0767,,,,True,True,False,False,False,False,,4,3,,TN,29.5,7.5,Seward et al. (2006),0.247,,,,,,,,<0.01,0.42+0.02-0.03,306+170-266,55.2±1.1,True,,,
10,MCSNR J0454-7003,J0454-7003,73.5825,-70.0575,SNR,2.6,2.4,2.5,1.25,36.361,80,ellipse,0.048,0.00525,False,,0.08,0.384615384615385,Y21,2021MNRAS.500.2336Y,ok,Za24,2024A&A...692A.237Z,,,,,,,,,,,,False,False,False,True,False,False,"Y21-Candidate; confirmed by Z24, 3-sigma detection",4,,,,,,,,0.8,-0.66,0.13,-0.44,0.44,-0.1,0.88,,,,,False,,,
11,MCSNR J0455-6839,J0455-6839,73.8716666666667,-68.6502777777778,SNR,6.4,5.2,5.8,2.9,84.35752,90,ellipse,0.757,0.03,False,CC,0.206896551724138,0.582961190818051,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N86,1.42,,,,-0.51,0.04,0.3345,,,,True,True,False,False,False,False,,4,3,,X,53,33,Williams et al. (1999),0.305,,,,,,,,,,,,False,,,
12,MCSNR J0456-6533,J0456-6533,74.21125,-65.5455555555556,SNR,5.7,5.7,5.7,2.85,82.90308,0,circle,0.18,0.014,False,Ia?,0,0,Za24,2024A&A...692A.237Z,ok,Za24,2024A&A...692A.237Z,4eRASSU J045650.7-653244,,,,,,,,,,,False,False,False,False,False,False,"Z24-Discovered-Confirmed, XMM-Newton follow-up, tentatively typed Ia",4,,,,,,,,,-0.2,0.06,,,,,<0.04,0.43+0.22-0.10,0.30+0.30-0.17,13.9±0.8,True,,,
13,MCSNR J0456-6950,J0456-6950,74.1583333333333,-69.8486111111111,SNR,5.4,4.2,4.8,2.4,69.81312,0,ellipse,0.01,0.0133,False,,0.25,0.628539361054709,B17,2017ApJS..230....2B,ok,,,,,,,,,,,,,,False,True,False,False,True,False,B17-Candidate_new,4,,,,,,,,,,,,,,,,,,,False,34.0-40.0,0.1-0.27,0.016-0.026
14,MCSNR J0459-7008,J0459-7008,74.96625,-70.1305555555556,SNR,2.9,2.9,2.9,1.45,42.17876,0,circle,0.211,0.013,False,CC,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N186D,1.09,0.93,,,,,,,,,True,True,False,False,False,False,,4,3,,CCq,11,,Jaskot et al. (2011),,,,,,,,,,,,,False,,,
15,MCSNR J0500-6512,J0500-6512,75.2216666666667,-65.1961111111111,SNR,6.2,3.8,5,2.5,72.722,55,ellipse,0.071,0.013,False,Ia?,0.48,0.790157981542961,Y21,2021MNRAS.500.2336Y,ok,TW,"Shukla 2024, MSc thesis",,,,,,,,,,,,False,False,False,True,False,False,"Y21-Candidate; confirmed by Shukla 2024 (MSc thesis, sec. 7.2.1)",4,,,,,,,,0.8,0.53,0.2,,,,,,,,,False,,,
16,MCSNR J0504-6723,J0504-6723,76.1920833333333,-67.3997222222222,SNR,5.5,5.5,5.5,2.75,79.9942,0,circle,0.142,0.015,False,,0,0,HP99,1999A&AS..139..277H (Haberl & Pietsch 1999),ok,,,,,,,,,,,,,,False,False,False,False,True,False,,4,,,,,,,,,0.65,0.1,-0.88,0.08,,,,,,,False,15.0-35.0,0.04-1.35,0.006-0.018
17,MCSNR J0505-6753,J0505-6753,76.4245833333333,-67.8791666666667,SNR,2.2,2.2,2.2,1.1,31.99768,0,circle,18,0.1,False,Ia?,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L71,44.59,,4700,,-0.6,0.02,0.0087,0.674,6840,1.28,True,True,True,False,False,False,,4,1,Ia,TN,4.36,0.29,Ghavamian et al. (2003),0.0882,,,,,,,,,,,,True,,,
18,MCSNR J0505-6802,J0505-6802,76.4779166666666,-68.0305555555556,SNR,2.2,1.8,2,1,29.0888,45,ellipse,10.9,0.1,False,CC?,0.2,0.574959574576069,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N23,26.25,0.81,4600,,-0.6,0.04,0.3926,1.06,10000,1.54,True,True,True,False,False,False,,4,3,CC,CC,4.6,1.2,Hughes et al. (2006),2.37,,,,,,,,,,,,True,,,
19,MCSNR J0506-6541,J0506-6541,76.4991666666667,-65.7102777777778,SNR,8.6,8.6,8.6,4.3,125.08184,0,circle,0.222,0.018,False,Ia,0,0,KPS10,"Klimek, Points & Smith 2010",verify-bibcode,,,DEM L72,0.53,0.39,,,,,,0.765,56800,0.0254,True,True,True,False,False,False,,4,4,,X,115,35,Klimek et al. (2010),,,,,,,,,0.02+0.04-0.02,0.19+0.01-0.01,396+78-361,22.1±0.9,True,,,
20,MCSNR J0506-6815,J0506-6815,76.5295833333333,-68.2619444444444,SNR,4.4,4,4.2,2.1,61.08648,30,ellipse,0.092,0.0125,False,,0.0952380952380953,0.416597790450531,B17,2017ApJS..230....2B,ok,,,,,,,,0,0.41,0.0371,,,,False,True,False,False,False,False,B17-Candidate,4,,,,,,,0.0037,,-0.03,0.16,-0.04,0.15,-0.85,0.3,,,,,False,,,
21,MCSNR J0506-7009,J0506-7009,76.5658333333333,-70.1555555555556,SNR,3.2,2.4,2.8,1.4,40.72432,140,ellipse,0.095,0.0095,False,Ia?,0.285714285714286,0.661437827766148,Za24,2024A&A...692A.237Z,ok,Za24,2024A&A...692A.237Z,4eRASSU J050615.8-700920,,,,,,,,,,,False,False,False,False,False,False,"Z24-Discovered-Confirmed, 3-sigma detection, tentatively typed Ia",4,,,,,,,,,0.68,0.11,-0.68,0.08,-0.29,0.29,,,,,False,,,
22,MCSNR J0506-7026,J0506-7026,76.7083333333333,-70.4313888888889,SNR,5.5,5.5,5.5,2.75,79.9942,0,circle,0.588,0.023,False,Ia?,0,0,Lea17,Lea17,unmapped,,,[HP99] 1139,1.44,,19000,2000,,,,1.1,15900,0.0258,True,True,True,False,False,False,,4,1,,TN,19,2,Maggi et al. (2016),,,,,,,,,<0.03,0.58+0.04-0.05,2.13+0.98-0.41,44.1±1.3,True,,,
23,MCSNR J0507-6847,J0507-6847,76.89,-68.7908333333333,SNR,11,9.2,10.1,5.05,146.89844,120,ellipse,0.867,0.055,False,,0.178217821782178,0.548175033879321,B17,2017ApJS..230....2B,ok,,,,,,,,,,,,,,False,True,False,False,False,False,B17-Candidates; confirmed by Ma21,4,,,,,,,,,,,,,,,,,,,False,,,
24,MCSNR J0508-6830,J0508-6830,77.2083333333333,-68.5138888888889,SNR,3.4,3.4,3.4,1.7,49.45096,0,circle,0.062,0.0091,False,Ia?,0,0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,J0508-6830,0.09,,20000,,,,,0.0871,4650,0.000715,True,True,True,False,False,False,,4,1,Ia,TN,20,,Maggi et al. (2014),,,,,,,,,,,,,False,,,
25,MCSNR J0508-6902,J0508-6902,77.1541666666667,-69.0483333333333,SNR,3.6,3.6,3.6,1.8,52.35984,0,circle,0.194,0.013,False,Ia?,0,0,BKM14,BKM14,unmapped,,,[HP99] 791,0.37,,22500,2500,,,,0.582,26600,0.0183,True,True,True,False,False,False,,4,1,Ia,TN,22.5,2.5,Bozzetto et al. (2014b),,,,,,,,,<0.03,0.68+0.05-0.07,298+178-263,14.2±0.6,True,,,
26,MCSNR J0509-6731,J0509-6731,77.3775,-67.5222222222222,SNR,1.5,1.5,1.5,0.75,21.8166,0,circle,5.61,0.05,False,Ia?,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0509-67.5,16.51,1.42,400,120,-0.73,0.02,0.0974,0.037,3960,1.87,True,True,True,False,False,False,,4,1,Ia,TN,0.31,0.12,Hovey et al. (2015),5.72,,,,,,,,,,,,True,,,
27,MCSNR J0509-6844,J0509-6844,77.2458333333333,-68.7263888888889,SNR,2.4,2.4,2.4,1.2,34.90656,0,circle,20.6,0.1,False,Ia?,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N103B,51.7,1.16,860,,-0.65,0.03,0.578,0.116,3220,5.52,True,True,True,False,False,False,,4,2,Ia,TN,0.86,,Hughes et al. (1995),39.7,,,,,,,,,,,,True,,,
28,MCSNR J0510-6708,J0510-6708,77.5475,-67.1344444444445,SNR,2,2,2,1,29.0888,0,circle,0.021,0.0088,False,,0,0,B17,2017ApJS..230....2B,ok,,,,,,,,-0.5,0,0.0029,,,,False,True,False,False,True,False,B17-Candidate_new,4,,,,,,,0.011,,0.23,0.43,,,,,,,,,False,12.0-22.0,0.01-1.82,0.023-0.23
29,MCSNR J0511-6759,J0511-6759,77.8225,-67.9861111111111,SNR,4.1,4.1,4.1,2.05,59.63204,0,circle,0.119,0.011,False,Ia?,0,0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,,0.16,,20000,,,,,0.0535,8120,0.0108,True,True,True,False,False,False,,4,1,Ia,TN,20,,Maggi et al. (2014),,,,,,,,,,,,,False,,,
30,MCSNR J0512-6707,J0512-6707,78.1125,-67.1216666666667,SNR,2.6,2.6,2.6,1.3,37.81544,0,circle,0.058,0.0066,False,Ia?,0,0,KSB15b,KSB15b,unmapped,,,[HP99] 483,0.09,0.28,,,-0.49,0.01,0.1046,0.0407,15900,0.0392,True,True,True,False,False,False,,4,3,,TN,3.15,1.25,Reid et al. (2015),2.29,,,,,,,,,,,,False,,,
31,MCSNR J0512-6716,J0512-6716,78.1029166666667,-67.2819444444445,SNR,7.8,7.4,7.6,3.8,110.53744,45,ellipse,0.14,0.019,False,,0.0526315789473683,0.31612379502405,B17,2017ApJS..230....2B,ok,,,MCSNR J0512-6717,,,,,,,,,,,False,True,False,False,True,False,B17-Candidate_new,4,,,,,,,,,-0.41,0.1,-0.8,0.3,,,,,,,False,28.0-36.0,0.21-1.75,0.034-0.069
32,MCSNR J0513-6724,J0513-6724,78.4291666666667,-67.4027777777778,SNR,2.6,2,2.3,1.15,33.45212,0,ellipse,0.05,0.0059,False,,0.260869565217391,0.638971066378314,Ma19,2019MNRAS.490.5494M,ok,,,,,,,,-0.61,0.41,0.0279,,,,False,True,False,False,False,False,B17-Candidate; confirmed by Ma19,4,,,,,,,0.0673,,-0.05,0.13,-0.23,0.14,-0.67,0.29,,,,,False,,,
33,MCSNR J0513-6912,J0513-6912,78.2983333333333,-69.2055555555556,SNR,4,3.2,3.6,1.8,52.35984,55,ellipse,0.236,0.0154,False,Ia,0.222222222222222,0.6,MFT85,Mathewson et al. 1985,verify-bibcode,,,DEM L109,0.51,0.56,,,-0.52,0.09,0.2423,0.654,21100,0.0426,True,True,True,False,False,False,,4,3,,X,3.5,1.5,Desai et al. (2010),0.268,,,,,,,,<0.07,0.70+0.07-0.06,1.85+471-3.59,16.1±0.7,True,,,
34,MCSNR J0514-6840,J0514-6840,78.55375,-68.6708333333333,SNR,4.8,4.8,4.8,2.4,69.81312,0,circle,0.16,0.014,False,Ia,0,0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,HP 700,0.4,,,,,,,0.246,23800,0.0307,True,True,True,False,False,False,,4,3,,X,,,,,,,,,,,,,,,,False,,,
35,MCSNR J0517-6759,J0517-6759,79.29875,-67.9805555555556,SNR,5.3,5.3,5.3,2.65,77.08532,0,circle,0.116,0.014,False,CC,0,0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,HP 607,0.24,1.44,,,,,,0.662,60100,0.0356,True,True,True,False,False,False,,4,3,,X,,,,,,,,,,,,,,,,False,,,
36,MCSNR J0518-6939,J0518-6939,79.67375,-69.6555555555556,SNR,3.4,3.4,3.4,1.7,49.45096,0,circle,0.442,0.018,False,CC,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N120,0.88,,,,-0.61,0.03,0.4504,0.37,13300,0.0962,True,True,True,False,False,False,,4,3,,CCq,7.3,,Rosado et al. (1993),2.79,,,,,,,,<0.03,1.04+0.29-0.29,0.14+0.07-0.03,33.8±1.0,True,,,
37,MCSNR J0519-6902,J0519-6902,79.88875,-69.0391666666667,SNR,2.6,2.6,2.6,1.3,37.81544,0,circle,15.1,0.1,False,Ia?,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0519-690,34.94,0.63,600,200,-0.64,0.02,0.1316,0.183,2680,3.51,True,True,True,False,False,False,,4,1,Ia,TN,0.6,0.2,Borkowski et al. (2006b),6.09,,,,,,,,,,,,True,,,
38,MCSNR J0519-6926,J0519-6926,79.9333333333333,-69.4355555555556,SNR,4.6,4.6,4.6,2.3,66.90424,0,circle,1.28,0.03,False,CC,0,0,MFD83,MFD83,unmapped,,,B0520-694,2.69,,,,-0.53,0.03,0.1606,0.744,18000,0.114,True,True,True,False,False,False,,4,5,,X,,,,0.565,,,,,,,,<0.01,1.73+0.36-0.49,0.08+0.02-0.01,100.5±2.2,True,,,
39,MCSNR J0521-6543,J0521-6543,80.4125,-65.7186111111111,SNR,6.6,6.6,6.6,3.3,95.99304,0,circle,0.058,0.0109,False,CC,0,0,BGS06,"2006ApJS..165..480B (Blair et al. 2006, UV)",verify-bibcode,,,DEM L142,,,,,,,,,,,True,True,False,False,False,False,,4,3,,X,,,,,,,,,,,,,,,,False,,,
40,MCSNR J0522-6543,J0522-6543,80.7229166666667,-65.7191666666667,SNR,5.8,5.2,5.5,2.75,79.9942,26,ellipse,,,True,,0.109090909090909,0.442939054436729,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,,,,,,,,,,,False,,,
41,MCSNR J0522-6740,J0522-6740,80.6404166666666,-67.6844444444445,SNR,3.2,3,3.1,1.55,45.08764,90,ellipse,0.053,0.0119,False,,0.0645161290322581,0.347985272676877,Y21,2021MNRAS.500.2336Y,verify-bibcode,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,1,0.38,0.21,,,,,,,,,False,,,
42,MCSNR J0523-6753,J0523-6753,80.7729166666667,-67.8888888888889,SNR,4.8,4.8,4.8,2.4,69.81312,0,circle,0.414,0.019,False,CC,0,0,CMG93,CMG93,unmapped,,,N44,0.9,0.21,,,,,,0.504,12600,0.0471,True,True,True,False,False,False,,4,5,,CCq,18,,Williams et al. (2006),,,,,,,,,0.04+0.08-0.03,1.23+0.27-0.16,0.66+0.17-0.16,29.5±1.1,True,,,
43,MCSNR J0524-6624,J0524-6624,81.0866666666667,-66.4077777777778,SNR,4.3,4.3,4.3,2.15,62.54092,0,circle,0.038,0.006,False,CC,0,0,MFT85,Mathewson et al. 1985,verify-bibcode,,,DEM L175a,,,,,-0.41,0.02,0.0725,,,,True,True,False,False,False,False,,4,3,,CCq,,,,0.187,,,,,,,,,,,,False,,,
44,MCSNR J0525-6559,J0525-6559,81.3504166666667,-65.9905555555556,SNR,3.7,3.7,3.7,1.85,53.81428,0,circle,16.1,0.1,False,CC?,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N49B,38.03,0.95,10000,,-0.56,0.03,0.6344,2.82,11800,0.51,True,True,True,False,False,False,,4,5,CC,CC,10,,Park et al. (2003),1.43,,,,,,,,,,,,True,,,
45,MCSNR J0525-6938,J0525-6938,81.2620833333333,-69.6452777777778,SNR,3.7,3.7,3.7,1.85,53.81428,0,circle,130,1,False,CC?,0,0,WM66,Westerlund & Mathewson 1966,verify-bibcode,,,N132D,315.04,0.45,3150,,-0.65,0.04,5.2642,4.81,8130,2.27,True,True,True,False,False,False,,4,5,CC,CC,3.15,0.2,Borkowski et al. (2007),27.9,,,,,,,,,,,,True,,,
46,MCSNR J0526-6605,J0526-6605,81.4975,-66.0844444444444,SNR,2.7,2.7,2.7,1.35,39.26988,0,circle,25,0.1,False,CC?,0,0,WM66,Westerlund & Mathewson 1966,verify-bibcode,,,N49,64.37,0.64,4800,,-0.59,0.03,1.6618,1.16,7650,1.93,True,True,True,False,False,False,,4,5,CC,CCq,4.8,,Park et al. (2012),16,,,,,,,,,,,,True,,,
47,MCSNR J0527-6550,J0527-6550,81.975,-65.8272222222222,SNR,5.2,5.2,5.2,2.6,75.63088,0,circle,0.475,0.013,False,Ia,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L204,,,,,-0.51,0.04,0.1365,,,,True,True,False,False,False,False,,4,3,,X,,,,0.0803,,,,,,,,<0.01,0.54+0.18-0.05,0.33+0.07-0.14,36.6±0.6,True,,,
48,MCSNR J0527-6714,J0527-6714,82.0329166666667,-67.2286111111111,SNR,6.9,6.9,6.9,3.45,100.35636,0,circle,0.037,0.0153,False,CC,0,0,TM84,TM84,unmapped,,,B0528-6716,0.25,2.28,,,-0.28,0.09,0.1113,0.31,37800,0.0362,True,True,True,False,False,False,,4,3,,X,,,,0.129,,,,,,,,,,,,False,,,
49,MCSNR J0527-6912,J0527-6912,81.9154166666667,-69.2055555555556,SNR,3.9,3.9,3.9,1.95,56.72316,0,circle,0.447,0.016,False,CC,0,0,MFD84,MFD84,unmapped,,,B0528-692,1.99,,,,,,,0.195,27900,0.0575,True,True,True,False,False,False,,4,4.5,,CCq,,,,,,,,,,,,,,,,False,,,
50,MCSNR J0527-7104,J0527-7104,82.005,-71.0730555555556,SNR,5.6,3.2,4.4,2.2,63.99536,65,ellipse,0.127,0.015,False,Ia?,0.545454545454545,0.82065180664829,KSP13,KSP13,unmapped,,,[HP99] 1234,0.21,0.66,25000,,,,,0.568,33400,0.0108,True,True,True,False,False,False,,4,1.5,,X,25,,Kavanagh et al. (2013),,,,,,,,,,,,,False,,,
51,MCSNR J0527-7134,J0527-7134,81.9579166666667,-71.5688888888889,SNR,3.8,3.6,3.7,1.85,53.81428,45,ellipse,0.069,0.0092,False,,0.0540540540540539,0.320145396331485,B17,2017ApJS..230....2B,ok,,,,,,,,-0.52,0.41,0.0284,,,,False,True,False,False,True,False,B17-Candidate_new,4,,,,,,,0.0589,,-0.27,0.11,-0.74,0.25,,,,,,,False,7.0-21.0,0.02-1.32,0.012-0.045
52,MCSNR J0528-6727,J0528-6727,82.0208333333333,-67.4555555555556,SNR,5.7,5.7,5.7,2.85,82.90308,0,circle,0.18,0.015,False,CC,0,0,MHB12,MHB12,unmapped,,,DEM L205,0.58,,,,,,,0.569,40800,0.0313,True,True,True,False,False,False,,4,3,,CCq,33.5,3.5,Maggi et al. (2012),,,,,,,,,,,,,False,,,
53,MCSNR J0529-6653,J0529-6653,82.455,-66.8927777777778,SNR,3.5,3.5,3.5,1.75,50.9054,0,circle,0.395,0.011,False,CC,0,0,BFC12a,BFC12a,unmapped,,,DEM L214,1.04,0.96,,,-0.68,0.03,0.0863,1.67,5040,0.0731,True,True,True,False,False,False,,4,4.5,,X,,,,0.267,,,,,,,,0.015+0.04-0.002,0.21+0.02-0.01,<282,1.2±0.5,True,,,
54,MCSNR J0529-7004,J0529-7004,82.2975,-70.0777777777778,SNR,1.6,1.6,1.6,0.8,23.27104,0,circle,0.15,0.026,False,,0,0,Y21,2021MNRAS.500.2336Y,verify-bibcode,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,1,0,0.17,-0.76,0.21,-0.23,0.87,,,,,False,,,
55,MCSNR J0530-7008,J0530-7008,82.6625,-70.125,SNR,5.8,5.8,5.8,2.9,84.35752,0,circle,0.348,0.03,False,Ia,0,0,DFB12,DFB12,unmapped,,,DEM L218,0.72,0.29,,,-0.27,0.01,0.0718,0.4,45200,0.0278,True,True,True,False,False,False,,4,3,,TNq,,,,0.101,,,,,,,,<0.1,0.30+0.02-0.03,378+95-346,26.1±1.2,True,,,
56,MCSNR J0531-7100,J0531-7100,82.9833333333333,-71.0052777777778,SNR,4,4,4,2,58.1776,0,circle,1.14,0.02,False,CC?,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N206,2.55,0.2,25000,,-0.66,0.03,0.4086,0.496,13100,0.0868,True,True,True,False,False,False,,4,4.5,,CCpwn,25,2,Williams et al. (2005),0.685,,,,,,,,0.03+0.03-0.02,1.08+0.29-0.20,0.17+0.06-0.04,88.1±1.6,True,,,
57,MCSNR J0532-6732,J0532-6732,83.0583333333333,-67.5361111111111,SNR,5.3,5.3,5.3,2.65,77.08532,0,circle,1.17,0.02,False,CC,0,0,MFT85,Mathewson et al. 1985,verify-bibcode,,,B0532-675,2.48,0.54,,,-0.63,0.04,0.2152,1.68,22100,0.0442,True,True,True,False,False,False,,4,3,,X,,,,0.36,,,,,,,,0.03+0.02-0.02,1.17+0.28-0.21,0.10+0.03-0.02,91.7±1.3,True,,,
58,MCSNR J0533-7202,J0533-7202,83.4720833333333,-72.0491666666667,SNR,4.4,4.4,4.4,2.2,63.99536,0,circle,0.259,0.014,False,Ia,0,0,BFC13,BFC13,unmapped,,,1RXSJ053353.6-7204,0.57,0.26,,,-0.47,0.06,0.1333,0.31,21900,0.0507,True,True,True,False,False,False,,4,2,,TNq,23,5,Williams et al. (2005),0.225,,,,,,,,,,,,False,,,
59,MCSNR J0534-6955,J0534-6955,83.5016666666667,-69.9175,SNR,3.3,3.3,3.3,1.65,47.99652,0,circle,3.36,0.04,False,Ia?,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0534-699,6.33,0.92,10000,,-0.51,0.01,0.0889,0.76,13400,0.506,True,True,True,False,False,False,,4,1,Ia,TN,10.1,,Hendrick et al. (2003),0.382,,,,,,,,0.20+0.02-0.03,0.69+0.08-0.03,0.21+0.02-0.03,238.4±1.7,True,,,
60,MCSNR J0534-7033,J0534-7033,83.5620833333333,-70.5627777777778,SNR,4.1,4.1,4.1,2.05,59.63204,0,circle,0.712,0.02,False,Ia?,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L238,1.55,,13500,,-0.44,0.09,0.0796,0.833,11000,0.0515,True,True,True,False,False,False,,4,1,Ia,TN,12.5,2.5,Borkowski et al. (2006a),0.123,,,,,,,,<0.01,0.86+0.02-0.03,276+202-234,53.6±1.5,True,,,
